transaction_id,timestamp,item_name,category,quantity,unit_price,food_cost,table_id,server_id,payment_method
B5D0DCC9,2026-02-27 19:05:06,Sparkling Water,beverage,2,93,8.64,T18,server_01,Card
A5018E17,2026-02-27 19:05:06,Lamb Kebab Platter,food,1,512,195.47,T18,server_03,Wallet
B9725439,2026-02-27 19:32:45,Chicken Tikka Wrap,food,2,229,67.25,T19,server_03,UPI
7A88E166,2026-02-27 19:32:45,Pasta Arrabiata,food,1,274,55.79,T19,server_03,Wallet
EF27FA1C,2026-02-27 17:43:48,Pasta Arrabiata,food,1,285,60.47,T20,server_01,Wallet
CC42CA75,2026-02-27 17:43:48,Grilled Salmon,food,1,470,186.21,T20,server_02,Wallet
2CDD17C1,2026-02-27 17:43:48,Pasta Arrabiata,food,1,278,64.03,T20,server_03,UPI
DC775758,2026-02-27 17:43:48,Mushroom Risotto,food,1,359,124.86,T20,server_03,Wallet
05B81B62,2026-02-27 17:31:18,Sparkling Water,beverage,2,91,9.79,T21,server_01,UPI
C9E67740,2026-02-27 17:31:18,Caesar Salad,food,1,188,45.37,T21,server_01,UPI
1E5B25B5,2026-02-27 17:31:18,Lamb Kebab Platter,food,2,498,194.91,T21,server_01,Wallet
E7777E3C,2026-02-27 17:31:18,Fish & Chips,food,1,385,124.08,T21,server_02,UPI
7F9895C6,2026-02-27 15:19:58,Chocolate Lava Cake,dessert,1,217,69.4,T22,server_02,Wallet
9694DA24,2026-02-27 15:19:58,Sparkling Water,beverage,1,92,9.37,T22,server_02,UPI
60E7965C,2026-02-27 15:19:58,Fresh Lime Soda,beverage,1,82,12.61,T22,server_03,Wallet
0686AF5B,2026-02-27 13:37:47,Mango Lassi,beverage,1,113,21.12,T23,server_03,Card
5986BC80,2026-02-27 13:37:47,Cold Coffee,beverage,2,121,22.73,T23,server_02,Wallet
9592E779,2026-02-27 13:37:47,Veg Burger,food,1,196,49.57,T23,server_03,Card
0CFED9C2,2026-02-27 13:56:51,Pasta Arrabiata,food,1,270,60.66,T24,server_02,Card
D678D286,2026-02-27 13:56:51,Mango Lassi,beverage,1,109,22.71,T24,server_03,Card
EA3E1AAC,2026-02-27 16:51:34,Caesar Salad,food,1,192,51.15,T25,server_02,Wallet
C880C515,2026-02-27 16:51:34,Chicken Tikka Wrap,food,1,228,70.5,T25,server_01,Cash
71BD1D42,2026-02-27 16:37:19,Chocolate Lava Cake,dessert,1,226,69.71,T26,server_03,UPI
A9F9696D,2026-02-27 16:37:19,Fresh Lime Soda,beverage,1,80,12.08,T26,server_02,Wallet
29498E21,2026-02-27 16:37:19,Lamb Kebab Platter,food,1,534,234.03,T26,server_02,Cash
76ED0F1B,2026-02-27 15:47:49,Chocolate Lava Cake,dessert,1,222,61.28,T27,server_01,Wallet
03C6B7C8,2026-02-27 15:47:49,Sparkling Water,beverage,1,87,8.22,T27,server_02,Card
CE37BA83,2026-02-27 15:47:49,Grilled Salmon,food,1,484,175.77,T27,server_02,Card
4F0EE035,2026-02-27 15:47:49,Lamb Kebab Platter,food,1,500,212.4,T27,server_03,Card
9C5600DC,2026-02-27 17:16:49,Mushroom Risotto,food,1,358,106.14,T28,server_03,UPI
FD32D7E6,2026-02-27 17:16:49,Masala Chai,beverage,2,61,6.97,T28,server_01,Wallet
F375AEF2,2026-02-27 15:15:40,Chicken Tikka Wrap,food,2,215,61.68,T29,server_03,UPI
D57FAB88,2026-02-27 15:15:40,Veg Burger,food,1,195,42.5,T29,server_03,UPI
DE2BC0A2,2026-02-27 15:15:40,Pasta Arrabiata,food,1,286,56.67,T29,server_03,Wallet
71F9C00C,2026-02-27 15:10:39,Mango Lassi,beverage,1,105,19.28,T30,server_01,Cash
CD8415DA,2026-02-27 15:10:39,Fresh Lime Soda,beverage,1,77,11.02,T30,server_01,Cash
4620C4FD,2026-02-27 15:10:39,Sparkling Water,beverage,1,90,8.9,T30,server_02,Cash
CEE4BEEE,2026-02-27 15:10:39,Chocolate Lava Cake,dessert,1,216,62.1,T30,server_01,Card
D2A26C69,2026-02-27 16:44:29,Veg Burger,food,2,205,44.5,T31,server_01,Cash
C5D682F8,2026-02-27 16:44:29,Pasta Arrabiata,food,2,284,67.62,T31,server_03,Cash
72976BFA,2026-02-27 18:52:39,Cold Coffee,beverage,1,118,22.42,T32,server_03,Wallet
8CE25298,2026-02-27 18:52:39,Fish & Chips,food,1,391,141.64,T32,server_02,UPI
42CF7B00,2026-02-27 18:52:39,Chicken Tikka Wrap,food,1,220,65.31,T32,server_01,Wallet
4333CE5E,2026-02-27 18:52:39,Mushroom Risotto,food,1,353,103.45,T32,server_01,Card
56707D18,2026-02-27 21:32:34,Fish & Chips,food,1,397,142.0,T33,server_01,Cash
A9C1E1CF,2026-02-27 21:32:34,Grilled Salmon,food,1,475,192.43,T33,server_02,UPI
96D15448,2026-02-27 21:32:34,Chicken Tikka Wrap,food,2,217,66.14,T33,server_01,Card
32C47434,2026-02-27 21:32:34,Gulab Jamun,dessert,1,123,24.57,T33,server_01,Wallet
A60DF3B5,2026-02-27 19:20:50,Lamb Kebab Platter,food,1,505,190.39,T34,server_02,Cash
375C7811,2026-02-27 19:20:50,Fish & Chips,food,1,396,149.01,T34,server_01,Wallet
56E9B5BE,2026-02-27 19:20:50,Mango Lassi,beverage,1,113,21.49,T34,server_03,UPI
026CA76E,2026-02-27 13:01:12,Gulab Jamun,dessert,2,122,24.36,T35,server_02,Cash
F8097FD3,2026-02-27 13:01:12,Gulab Jamun,dessert,1,122,26.47,T35,server_02,Wallet
FEC1670F,2026-02-27 13:01:12,Masala Chai,beverage,1,61,7.41,T35,server_03,Cash
C143A514,2026-02-27 19:12:31,Mango Lassi,beverage,1,107,23.19,T36,server_01,Card
D00C2CB1,2026-02-27 19:12:31,Cheesecake Slice,dessert,1,181,45.88,T36,server_01,Card
95DD36C7,2026-02-27 19:12:31,Gulab Jamun,dessert,1,123,26.56,T36,server_02,Wallet
50F86F42,2026-02-27 13:28:39,Mango Lassi,beverage,1,108,23.31,T37,server_03,Wallet
B05DD717,2026-02-27 13:28:39,Sparkling Water,beverage,1,90,9.07,T37,server_03,Wallet
F84334D0,2026-02-27 13:28:39,Masala Chai,beverage,1,58,6.37,T37,server_03,Card
836A6D16,2026-02-27 12:45:56,Chicken Tikka Wrap,food,1,213,61.52,T38,server_03,Card
2E887B5F,2026-02-27 12:45:56,Cheesecake Slice,dessert,1,179,51.51,T38,server_03,Wallet
9DE9003C,2026-02-27 21:55:41,Cheesecake Slice,dessert,1,172,51.1,T39,server_02,UPI
D95CFF3D,2026-02-27 21:55:41,Dal Makhani Bowl,food,2,175,35.73,T39,server_01,Cash
0F3273C8,2026-02-27 21:55:41,Gulab Jamun,dessert,1,123,25.73,T39,server_03,UPI
51C3097F,2026-02-27 18:03:55,Cold Coffee,beverage,2,117,21.99,T40,server_03,Card
4B30A9A8,2026-02-27 18:03:55,Pasta Arrabiata,food,1,286,68.35,T40,server_01,Card
6C5173AC,2026-02-27 18:03:55,Fresh Lime Soda,beverage,1,78,11.51,T40,server_03,Wallet
ACB77513,2026-02-27 18:03:55,Chocolate Lava Cake,dessert,1,225,73.34,T40,server_03,Card
E9BD2282,2026-02-27 11:31:54,Mango Lassi,beverage,1,110,20.43,T41,server_01,Wallet
CA8C26E7,2026-02-27 11:31:54,Chicken Tikka Wrap,food,1,213,69.59,T41,server_01,Cash
1F2A74EC,2026-02-27 11:31:54,Cheesecake Slice,dessert,1,186,48.48,T41,server_01,Card
57D7A4E1,2026-02-27 11:31:54,Chocolate Lava Cake,dessert,1,223,72.89,T41,server_01,Wallet
C57AC9C2,2026-02-27 12:32:27,Lamb Kebab Platter,food,1,524,213.74,T42,server_02,UPI
B621796B,2026-02-27 12:32:27,Lamb Kebab Platter,food,1,536,233.23,T42,server_03,UPI
06BDCC3A,2026-02-27 12:32:27,Masala Chai,beverage,2,60,7.91,T42,server_01,Wallet
BF692FFC,2026-02-27 14:50:15,Chicken Tikka Wrap,food,1,229,63.15,T43,server_01,Wallet
D5824E35,2026-02-27 14:50:15,Dal Makhani Bowl,food,1,181,36.16,T43,server_03,Cash
FB0B536F,2026-02-27 12:47:51,Dal Makhani Bowl,food,1,176,33.9,T44,server_02,Wallet
8076FE37,2026-02-27 12:47:51,Fresh Lime Soda,beverage,1,78,12.39,T44,server_03,Cash
BCEF9C9A,2026-02-27 12:47:51,Lamb Kebab Platter,food,1,500,206.43,T44,server_03,UPI
A2322BBE,2026-02-27 12:47:51,Gulab Jamun,dessert,1,123,25.18,T44,server_02,UPI
18D22262,2026-02-27 13:51:30,Gulab Jamun,dessert,1,116,23.48,T45,server_03,Wallet
47DEE4C2,2026-02-27 13:51:30,Fresh Lime Soda,beverage,2,80,11.46,T45,server_03,Wallet
D276A122,2026-02-27 18:36:27,Chocolate Lava Cake,dessert,1,228,63.82,T46,server_03,Card
0E95EE90,2026-02-27 18:36:27,Fresh Lime Soda,beverage,1,78,12.18,T46,server_03,Card
D56F4694,2026-02-27 18:36:27,Mushroom Risotto,food,1,333,111.33,T46,server_01,Wallet
614725EF,2026-02-27 18:36:27,Veg Burger,food,1,210,50.52,T46,server_02,Card
21808057,2026-02-27 13:39:31,Caesar Salad,food,1,199,50.98,T47,server_02,UPI
0B7F21C5,2026-02-27 13:39:31,Cheesecake Slice,dessert,1,174,44.61,T47,server_01,Cash
F509130C,2026-02-27 15:05:05,Sparkling Water,beverage,1,93,9.26,T48,server_03,Wallet
9A345719,2026-02-27 15:05:05,Cheesecake Slice,dessert,1,187,52.51,T48,server_03,Wallet
3080FAC4,2026-02-27 15:05:05,Cheesecake Slice,dessert,1,183,47.96,T48,server_01,UPI
E626F189,2026-02-27 13:08:55,Chocolate Lava Cake,dessert,1,228,63.54,T49,server_03,Card
A330F4A2,2026-02-27 13:08:55,Caesar Salad,food,1,199,48.22,T49,server_01,Cash
8ED24A9C,2026-02-27 16:04:02,Mushroom Risotto,food,2,365,125.88,T50,server_02,UPI
044CE884,2026-02-27 16:04:02,Chicken Tikka Wrap,food,1,218,63.66,T50,server_02,Cash
8A0330C5,2026-02-27 16:04:02,Chicken Tikka Wrap,food,1,228,62.36,T50,server_03,Card
3D1B7F45,2026-02-27 17:55:43,Cheesecake Slice,dessert,1,182,52.07,T51,server_02,Card
B625427E,2026-02-27 17:55:43,Mango Lassi,beverage,1,110,20.93,T51,server_02,Card
D9F40E05,2026-02-27 17:55:43,Mango Lassi,beverage,2,107,21.04,T51,server_03,UPI
548878B1,2026-02-27 11:43:00,Grilled Salmon,food,2,469,174.76,T52,server_01,Cash
7BCD0E78,2026-02-27 11:43:00,Gulab Jamun,dessert,1,125,28.98,T52,server_03,Cash
FAF30931,2026-02-27 12:29:57,Pasta Arrabiata,food,1,277,57.57,T53,server_03,Wallet
1BEED666,2026-02-27 12:29:57,Lamb Kebab Platter,food,1,495,200.19,T53,server_03,Cash
E8EBA459,2026-02-27 12:29:57,Lamb Kebab Platter,food,1,502,207.05,T53,server_03,UPI
C444D0A6,2026-02-27 12:29:57,Grilled Salmon,food,1,482,185.81,T53,server_02,Card
090BA447,2026-02-27 15:07:06,Cheesecake Slice,dessert,1,177,53.41,T54,server_03,UPI
4074D8FC,2026-02-27 15:07:06,Chocolate Lava Cake,dessert,1,210,68.43,T54,server_01,Cash
8BBCB3D4,2026-02-27 15:07:06,Fish & Chips,food,2,361,118.12,T54,server_01,Cash
9BB37266,2026-02-27 21:45:34,Dal Makhani Bowl,food,1,179,38.22,T55,server_02,Wallet
495FD6F4,2026-02-27 21:45:34,Grilled Salmon,food,1,462,187.73,T55,server_02,Wallet
3BC3F1B3,2026-02-27 21:45:34,Caesar Salad,food,1,187,50.5,T55,server_01,Cash
863EE3C1,2026-02-27 21:45:34,Mango Lassi,beverage,1,105,22.7,T55,server_01,Wallet
D75A2F28,2026-02-27 12:28:24,Lamb Kebab Platter,food,1,532,225.14,T56,server_01,UPI
74DEDA5A,2026-02-27 12:28:24,Dal Makhani Bowl,food,2,175,31.83,T56,server_01,Cash
520EA6DB,2026-02-27 12:28:24,Chocolate Lava Cake,dessert,1,226,62.65,T56,server_01,Card
6DD5FF31,2026-02-27 12:28:24,Pasta Arrabiata,food,1,290,63.62,T56,server_01,Wallet
24BB6632,2026-02-27 21:30:06,Fresh Lime Soda,beverage,2,78,10.56,T57,server_01,UPI
2F96D86B,2026-02-27 21:30:06,Pasta Arrabiata,food,2,270,65.32,T57,server_03,UPI
18A58F35,2026-02-27 21:30:06,Mushroom Risotto,food,1,346,101.65,T57,server_01,Card
F0FCA15F,2026-02-27 21:30:06,Cheesecake Slice,dessert,1,171,43.67,T57,server_01,Wallet
0C7B973F,2026-02-27 15:34:45,Cheesecake Slice,dessert,2,175,45.93,T58,server_03,Card
E4656B05,2026-02-27 15:34:45,Masala Chai,beverage,2,61,7.3,T58,server_02,Cash
4810FB0C,2026-02-27 17:16:25,Dal Makhani Bowl,food,1,182,35.75,T59,server_01,Cash
8DF41702,2026-02-27 17:16:25,Pasta Arrabiata,food,1,268,54.99,T59,server_01,Card
8BC20CE2,2026-02-27 12:49:33,Mushroom Risotto,food,1,335,99.35,T60,server_03,Wallet
7CF97530,2026-02-27 12:49:33,Pasta Arrabiata,food,1,278,58.67,T60,server_02,Card
0C804F90,2026-02-27 19:08:14,Margherita Pizza,food,2,305,82.17,T61,server_03,Cash
FC798313,2026-02-27 19:08:14,Cheesecake Slice,dessert,1,184,49.2,T61,server_02,UPI
9D25DBBE,2026-02-27 19:08:14,Sparkling Water,beverage,2,90,8.75,T61,server_03,Cash
7AD118FD,2026-02-27 12:23:36,Grilled Salmon,food,1,489,182.17,T62,server_03,UPI
07DC54BA,2026-02-27 12:23:36,Lamb Kebab Platter,food,1,537,199.88,T62,server_02,Cash
2B7922E1,2026-02-27 11:45:08,Gulab Jamun,dessert,1,122,26.72,T63,server_02,Cash
9548C983,2026-02-27 11:45:08,Masala Chai,beverage,1,60,6.97,T63,server_01,UPI
0BFC9387,2026-02-27 11:45:08,Veg Burger,food,1,210,46.94,T63,server_03,UPI
85934E9F,2026-02-27 11:45:08,Cheesecake Slice,dessert,2,180,51.35,T63,server_01,Cash
88926AB3,2026-02-27 21:02:16,Cold Coffee,beverage,1,121,21.79,T64,server_01,Wallet
B0A9D052,2026-02-27 21:02:16,Grilled Salmon,food,1,500,206.41,T64,server_02,Wallet
614E98DD,2026-02-27 18:55:45,Dal Makhani Bowl,food,1,174,31.42,T65,server_01,UPI
5763C46F,2026-02-27 18:55:45,Cold Coffee,beverage,2,121,23.89,T65,server_03,UPI
2C1C03EB,2026-02-27 18:55:45,Gulab Jamun,dessert,1,115,23.57,T65,server_03,UPI
4D47CAEF,2026-02-27 13:26:54,Chicken Tikka Wrap,food,1,223,65.97,T66,server_02,UPI
C95DCC04,2026-02-27 13:26:54,Veg Burger,food,1,205,51.87,T66,server_03,Card
A7C4BDDE,2026-02-27 14:20:58,Lamb Kebab Platter,food,1,537,213.29,T67,server_03,Card
00AC7D46,2026-02-27 14:20:58,Lamb Kebab Platter,food,2,530,207.69,T67,server_03,Cash
A54F87E0,2026-02-28 18:25:26,Sparkling Water,beverage,1,94,9.17,T01,server_03,Wallet
FE3EE5CF,2026-02-28 18:25:26,Margherita Pizza,food,1,328,92.77,T01,server_01,Wallet
EF95F7CD,2026-02-28 20:39:49,Chocolate Lava Cake,dessert,1,229,71.72,T02,server_02,Wallet
BBDD9221,2026-02-28 20:39:49,Grilled Salmon,food,1,458,190.76,T02,server_03,UPI
362077EC,2026-02-28 20:39:49,Masala Chai,beverage,1,59,6.44,T02,server_01,Card
7C03796E,2026-02-28 17:55:19,Caesar Salad,food,1,198,54.12,T03,server_02,Wallet
9FB9686D,2026-02-28 17:55:19,Chocolate Lava Cake,dessert,2,209,65.16,T03,server_01,Wallet
DC21431D,2026-02-28 11:02:08,Dal Makhani Bowl,food,1,176,31.77,T04,server_03,Wallet
C113D172,2026-02-28 11:02:08,Grilled Salmon,food,1,494,206.1,T04,server_02,Cash
865DFFED,2026-02-28 17:38:26,Mango Lassi,beverage,1,112,23.64,T05,server_03,Card
579E6698,2026-02-28 17:38:26,Fish & Chips,food,1,378,134.41,T05,server_03,UPI
A3F910B0,2026-02-28 17:38:26,Gulab Jamun,dessert,1,120,24.62,T05,server_02,Wallet
7EDFC520,2026-02-28 19:15:29,Chocolate Lava Cake,dessert,1,214,66.66,T06,server_02,Cash
9933FCCB,2026-02-28 19:15:29,Grilled Salmon,food,1,475,173.83,T06,server_03,UPI
EDC23DB0,2026-02-28 16:51:05,Fresh Lime Soda,beverage,1,78,11.31,T07,server_03,Card
F770985B,2026-02-28 16:51:05,Veg Burger,food,1,194,43.24,T07,server_02,UPI
53CB5183,2026-02-28 16:51:05,Pasta Arrabiata,food,1,275,58.06,T07,server_02,UPI
FC134746,2026-02-28 13:40:34,Caesar Salad,food,2,197,48.35,T08,server_02,Wallet
BECE09F6,2026-02-28 13:40:34,Fish & Chips,food,1,364,117.74,T08,server_02,Card
B287DF9E,2026-02-28 13:40:34,Grilled Salmon,food,1,499,172.73,T08,server_01,UPI
B6117CE9,2026-02-28 21:00:50,Fresh Lime Soda,beverage,1,82,13.34,T09,server_02,Cash
82997381,2026-02-28 21:00:50,Lamb Kebab Platter,food,1,522,213.79,T09,server_03,UPI
F84F1C25,2026-02-28 21:00:50,Caesar Salad,food,1,189,45.46,T09,server_03,UPI
55C12C12,2026-02-28 21:00:50,Sparkling Water,beverage,1,89,8.7,T09,server_01,UPI
048F90E1,2026-02-28 12:09:40,Sparkling Water,beverage,1,92,8.83,T10,server_01,Wallet
3D362639,2026-02-28 12:09:40,Chocolate Lava Cake,dessert,1,229,67.9,T10,server_02,Card
49667109,2026-02-28 12:09:40,Cold Coffee,beverage,1,122,21.72,T10,server_01,UPI
F300DC59,2026-02-28 15:03:09,Mango Lassi,beverage,1,114,21.39,T11,server_02,Wallet
E3B0C1EE,2026-02-28 15:03:09,Lamb Kebab Platter,food,1,535,222.1,T11,server_02,Wallet
843A859D,2026-02-28 15:03:09,Masala Chai,beverage,1,62,7.57,T11,server_03,UPI
DA3BEA17,2026-02-28 15:03:09,Mushroom Risotto,food,1,348,100.83,T11,server_03,Wallet
860898B3,2026-02-28 13:21:46,Pasta Arrabiata,food,1,276,59.56,T12,server_01,UPI
84E21994,2026-02-28 13:21:46,Margherita Pizza,food,1,307,77.42,T12,server_01,UPI
947A8846,2026-02-28 20:51:48,Mushroom Risotto,food,1,338,100.21,T13,server_02,Wallet
3E0EDCFB,2026-02-28 20:51:48,Mushroom Risotto,food,1,355,109.73,T13,server_03,Cash
C431614B,2026-02-28 20:51:48,Mango Lassi,beverage,1,107,21.07,T13,server_01,UPI
355EEC4C,2026-02-28 20:51:48,Fish & Chips,food,2,380,141.25,T13,server_02,Card
B43F3329,2026-02-28 16:14:39,Caesar Salad,food,1,186,45.41,T14,server_02,Cash
FF746CB9,2026-02-28 16:14:39,Margherita Pizza,food,1,334,80.13,T14,server_02,Cash
EC614F3F,2026-02-28 16:14:39,Cheesecake Slice,dessert,1,188,47.69,T14,server_01,Wallet
420357E6,2026-02-28 16:23:44,Dal Makhani Bowl,food,1,172,34.8,T15,server_03,Cash
21F79844,2026-02-28 16:23:44,Pasta Arrabiata,food,1,274,65.84,T15,server_01,UPI
D1362791,2026-02-28 16:23:44,Mushroom Risotto,food,1,367,119.28,T15,server_03,Card
42C4D087,2026-02-28 16:23:44,Gulab Jamun,dessert,1,114,24.61,T15,server_01,Wallet
CE5A14AF,2026-02-28 17:36:04,Mango Lassi,beverage,1,115,24.57,T16,server_01,Card
F1558C5E,2026-02-28 17:36:04,Cold Coffee,beverage,1,117,21.26,T16,server_01,Card
F063A12A,2026-02-28 15:36:08,Caesar Salad,food,1,196,44.27,T17,server_01,Card
0D20E4BC,2026-02-28 15:36:08,Veg Burger,food,1,206,47.46,T17,server_01,Wallet
4AAA8005,2026-02-28 15:36:08,Fish & Chips,food,1,382,128.27,T17,server_01,Cash
141157E1,2026-02-28 21:18:00,Fish & Chips,food,1,362,119.5,T18,server_03,Cash
B9E061D9,2026-02-28 21:18:00,Lamb Kebab Platter,food,1,516,215.21,T18,server_01,Wallet
7B1C65DE,2026-02-28 21:18:00,Mango Lassi,beverage,1,115,22.21,T18,server_02,UPI
E39078EB,2026-02-28 21:18:00,Fresh Lime Soda,beverage,1,82,11.93,T18,server_01,UPI
43CEE16D,2026-02-28 14:52:03,Veg Burger,food,1,199,47.86,T19,server_03,Wallet
7CBCBE37,2026-02-28 14:52:03,Pasta Arrabiata,food,1,291,67.26,T19,server_03,Card
9F145023,2026-02-28 14:52:03,Sparkling Water,beverage,1,92,9.66,T19,server_01,Wallet
D8D7CE1B,2026-02-28 15:28:44,Margherita Pizza,food,1,333,88.87,T20,server_02,Cash
2A6C646F,2026-02-28 15:28:44,Chocolate Lava Cake,dessert,1,217,65.72,T20,server_02,Cash
A2060C10,2026-02-28 15:28:44,Mango Lassi,beverage,1,113,21.04,T20,server_01,UPI
F4496EF5,2026-02-28 14:39:20,Pasta Arrabiata,food,1,279,65.39,T21,server_02,Card
85F69CA8,2026-02-28 14:39:20,Chicken Tikka Wrap,food,1,210,65.21,T21,server_02,Cash
11631B50,2026-02-28 20:58:43,Masala Chai,beverage,1,63,6.99,T22,server_03,Card
4AB93669,2026-02-28 20:58:43,Grilled Salmon,food,1,474,193.48,T22,server_01,UPI
E75104E0,2026-02-28 20:58:43,Mushroom Risotto,food,1,365,114.49,T22,server_01,UPI
D7506C2C,2026-02-28 20:58:43,Margherita Pizza,food,2,317,75.76,T22,server_03,Wallet
40D013A1,2026-02-28 17:42:58,Mushroom Risotto,food,1,365,116.29,T23,server_03,Card
A3F1E8B0,2026-02-28 17:42:58,Lamb Kebab Platter,food,1,508,197.65,T23,server_01,Cash
EEE3A181,2026-02-28 17:42:58,Gulab Jamun,dessert,1,123,27.48,T23,server_02,Card
3E956B48,2026-02-28 20:29:54,Fish & Chips,food,1,394,133.74,T24,server_01,Wallet
E00628A9,2026-02-28 20:29:54,Fish & Chips,food,1,391,140.84,T24,server_02,Wallet
CAB4EEA0,2026-02-28 20:29:54,Margherita Pizza,food,2,333,92.4,T24,server_02,UPI
6C227F06,2026-02-28 20:29:54,Dal Makhani Bowl,food,1,174,36.23,T24,server_01,Cash
